artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,total_in_genre,terms_freq,time_signature,time_signature_confidence,title,year
0.382846902,ARE36MM1187B991E50,Blind Lemon Jefferson,blues,1,0.098,0.50705,0.751,0.50705,175.15057,0.56,0.594866646,4,0.18,31.1689,"Couchman, TX",-100.07715,-19.239,1,0.112,183909,The Complete Classic Sides Remastered: Chicago 1926 Disc A,ARHNCQ31187B9915DC,,SOJBKMX12A8AE47E72,166.522,0.225,0.50705,101.676,country blues,1,0.950349624,3,0.607,Got The Blues,1926
0.382846902,ARE36MM1187B991E50,Blind Lemon Jefferson,blues,1,0.021,1.00613,1,0.42734,178.38975,0.584,0.594866646,1,0.053,31.1689,"Couchman, TX",-100.07715,-24.106,1,0.428,183909,The Complete Classic Sides Remastered: Chicago 1926 Disc A,ARHNCQ31187B9915DC,,SOCSUYP12A58A79438,173.337,0.161,0.42734,100.329,country blues,2,0.950349624,4,0.073,Long Lonesome Blues,1926
0.385567523,ARWQ2DR1187B98FF28,Ma Rainey,,0,0.916,0.42516,0.916,0.42516,188.94322,0.346,0.507110849,4,0.285,32.46292,"Columbus, GA",-84.98763,-17.714,1,0.372,391911,Ma Rainey,ARYYCVC1187B9A8510,,SOFPGXP12A58A78AAB,188.943,0.577,0.42516,99.076,classic female blues,1,1,1,0,Ma Rainey's Black Bottom,1927
0.385344914,ARRU9GR1187FB43F56,Blind Willie McTell,prewar blues,1,0.157,0.53989,0.653,0.05963,191.73832,0.224,0.591423659,3,0.623,33.46797,"Thomson, GA",-82.50293,-11.383,1,0.502,175116,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,ARWP0MB1187B98F82B,,SODVIWU12A6D4FCDA6,185.179,0.551,0.05963,131.624,country blues,3,0.999409041,3,0.293,Writing Paper Blues,1927
0.382846902,ARE36MM1187B991E50,Blind Lemon Jefferson,blues,1,0.065,0.85481,0,0.09874,185.41669,0,0.594866646,10,0.355,31.1689,"Couchman, TX",-100.07715,-19.308,0,0.263,597464,King Of The Country Blues,ARHNCQ31187B9915DC,,SOITIZR12A8C13BA50,181.226,0.295,0.09874,162.496,country blues,4,0.950349624,4,0.321,Wartime Blues,1927
0.375593583,ARTDUXM1187B9899ED,Charley Patton,blues,1,0.107,2.7328,0,0.13967,191.11138,0.729,0.574300068,6,0.001,32.33112,"Edwards, MS",-90.60536,-14.873,1,0.129,190889,Charley Patton Vol. 1 (1929),ARFGMSJ122988ED7A0,,SONDPLZ12A8C13270C,184.506,0.111,0.13967,114.177,delta blues,1,0.996954279,7,0.535,Mississippi Boweavil Blues,1929
0.375593583,ARTDUXM1187B9899ED,Charley Patton,blues,1,0.448,0.44434,0.448,0.44434,196.62322,0.171,0.574300068,10,0.346,32.33112,"Edwards, MS",-90.60536,-15.164,1,0.343,688952,Essential Delta Blues,ARFGMSJ122988ED7A0,,SOFLCWE12AC468C2B2,190.572,0.158,0.17939,107.877,delta blues,2,0.996954279,1,0,Moon Going Down,1930
0.35303574,ARE2QID1187B98FA19,Sleepy John Estes,,0,0.546,0.28207,0.546,0.28207,196.88444,0.282,0.519000072,0,0.766,35.74595,"Ripley, TN",-89.53176,-18.338,1,0.811,176847,Legendary Country Blues Artists - CD A,ARNEL2O1187FB4421A,,SONODJN12A6D4F9838,189.864,0,0.28207,158.767,country blues,5,0.967611517,1,0,Street Car Blues,1930
0.375593583,ARTDUXM1187B9899ED,Charlie Patton,blues,1,0.052,0.18897,0.923,0.18897,173.322,0.525,0.574300068,5,0.376,32.33112,"Edwards, MS",-90.60536,-30.53,0,0.405,546652,A Spoonful Blues  Vol 1,ARFGMSJ122988ED7A0,,SOBPKPM12AB017FD64,165.785,0.074,0.18897,100.795,delta blues,3,0.996954279,3,0.996,34 Blues,1934
0.35303574,ARE2QID1187B98FA19,Sleepy John Estes,,0,0.801,0.33281,0.801,0.33281,163.91791,0.16,0.519000072,11,0.258,35.74595,"Ripley, TN",-89.53176,-15.832,1,0.398,176847,Legendary Country Blues Artists - CD A,ARNEL2O1187FB4421A,,SOHHVZZ12A6D4F9848,158.877,0.026,0.33281,96.982,country blues,6,0.967611517,1,0,Stop That Thing,1935
